ZipCode,INCIDENTNEIGHBORHOOD
15204,Chartiers City
15210,Point Breeze North
15212,Brookline
15212,Middle Hill
15224,Duquesne Heights
15213,Central North Side
15236,Outside County
15222,Bloomfield
15203,Hazelwood
15233,California-Kirkbride
15217,Squirrel Hill North
15232,Outside City
15203,Homewood North
15206,Outside County
15219,Stanton Heights
15222,Fineview
15212,Homewood South
15221,Upper Hill
15237,South Shore
15210,Central Lawrenceville
15210,Central Oakland
15212,Bluff
15217,Point Breeze
15210,South Oakland
15201,Crawford-Roberts
15219,Hays
15212,East Liberty
15211,Morningside
15222,East Hills
15221,Friendship
15220,Beltzhoover
15206,Middle Hill
15222,South Side Flats
15221,North Oakland
15210,Elliott
15210,Spring Garden
15206,Crawford-Roberts
15222,Crafton Heights
15227,Hazelwood
15221,Homewood West
15222,Allegheny Center
15226,Bloomfield
15220,Beechview
15210,Central Business District
15217,East Liberty
15208,Squirrel Hill North
15214,California-Kirkbride
15212,Highland Park
15207,Outside City
15221,West Oakland
15222,Bedford Dwellings
15203,Central North Side
15218,Fairywood
15214,Terrace Village
15232,Strip District
15204,Elliott
15206,Carrick
15228,Point Breeze North
15226,Carrick
15227,Overbrook
15219,Allegheny West
15201,Larimer
15206,Central North Side
15207,Middle Hill
15210,South Side Flats
15218,Homewood North
15207,Bluff
15213,Upper Hill
15222,Garfield
15220,East Hills
15209,Central North Side
15204,West End
15204,Spring Hill-City View
15233,Carrick
15203,Bluff
15208,Garfield
15218,Terrace Village
15223,Perry South
15216,Overbrook
15219,Duquesne Heights
15224,Hazelwood
15207,Sheraden
15212,South Side Flats
15216,Brookline
15212,Garfield
15212,Beechview
15216,Shadyside
15212,North Oakland
15212,Squirrel Hill South
15214,Brighton Heights
15235,Outside City
15212,Strip District
15209,Crawford-Roberts
15213,California-Kirkbride
15207,Elliott
15203,Glen Hazel
15220,Central Business District
15236,Hazelwood
15224,Beechview
15214,Central North Side
15216,West End
15221,Lincoln-Lemington-Belmar
15233,Beltzhoover
15220,North Oakland
15206,Squirrel Hill South
15224,Mount Washington
15235,Point Breeze North
15234,Mount Washington
15222,Crawford-Roberts
15233,Perry South
15222,Elliott
15219,Outside State
15217,East Allegheny
15212,West Oakland
15220,Perry South
15224,Central Business District
15212,Bloomfield
15222,Central Lawrenceville
15219,Esplen
